sampleName	rawReads	genomeCounts	plasmidCounts
sample1	469456	18701	5050
sample2	1998143	68013	11878
sample3	604558	20321	5380
sample4	877293	26931	5927
sample5	618818	22606	5585
sample6	398070	15753	4452
sample7	2849819	127514	12424
sample8	2205823	71076	15386
sample9	2783203	143500	13718
sample10	1272733	47338	8641
sample11	4399353	164449	17896
sample12	1438793	55705	9441
sample13	517631	17375	5169
sample14	331638	12169	4209
sample15	579828	17482	5159
sample16	424484	11438	4079
sample17	377777	10420	4010
sample18	381500	11459	3963
