"","geneID","order","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ACT29688-1","ACT29688-1",2591,103.83709625345,0.521157330400261,0.107768439399266,92.600660333597,7.79869791726393e-21,2.19611333350152e-17
"ACT30005-1","ACT30005-1",2897,76.1230142069258,1.21790926106751,0.208645720321749,85.7717294013889,2.37085835857872e-19,3.33816856887883e-16
"ACT27188-1","ACT27188-1",106,33.9515618525983,0.746393113899088,0.152342069057051,82.979602653615,9.57653121291737e-19,8.98917063185844e-16
"ACT28701-1","ACT28701-1",1625,6.30708825479026,0.769115350446638,0.483157615160239,73.2505396839556,1.2412161261908e-16,8.7381615283832e-14
"ACT27183-1","ACT27183-1",101,31.7801998988781,1.45708683918524,0.258689708038824,67.3559964998981,2.36500029093696e-15,1.33196816385569e-12
"ACT31143-1","ACT31143-1",4019,239.44458067461,0.897674690744983,0.168886767782178,63.1419623286572,1.9448991748202e-14,9.12806012715615e-12
"ACT29943-1","ACT29943-1",2834,23.7456321512084,-0.895032051334348,0.192144238141062,62.2007332243308,3.1137403541063e-14,1.2526132624519e-11
"ACT31030-1","ACT31030-1",3898,50.9726143106895,-0.361167874627298,0.114649505295112,57.3426162784788,3.53353246783562e-13,1.24380342867814e-10
"ACT31309-1","ACT31309-1",4201,185.629554380646,1.3447481300808,0.258707867087622,52.2700179850824,4.4638522364941e-12,1.39668976644082e-09
"ACT30198-1","ACT30198-1",3075,43.0326476019886,0.633053498340893,0.158137506681322,50.8943703702719,8.8803052444881e-12,2.50069395684785e-09
"ACT30215-1","ACT30215-1",3091,145.90878677547,1.14543185774102,0.214341541755818,50.5490609775031,1.05538489964905e-11,2.70178534310158e-09
"ACT30585-1","ACT30585-1",3462,18.4249500565063,1.33155499416308,0.300349089116661,50.146563398179,1.29066078523958e-11,3.02875064269555e-09
"ACT28158-1","ACT28158-1",1088,37.9882171820068,-0.526645292579208,0.141324570010769,49.6326160599547,1.66883869607036e-11,3.61496136010318e-09
"ACT28973-1","ACT28973-1",1904,163.796726556382,0.949852433124858,0.179058183979982,49.34782152952,1.92422878861307e-11,3.87044876338171e-09
"ACT27088-1","ACT27088-1",7,39.6815960877382,0.936154822785643,0.172689482004633,47.4231593823213,5.03723001990896e-11,9.02565430188682e-09
"ACT29473-1","ACT29473-1",2388,23.5268485035245,1.0123529079122,0.234466242925558,47.387357663139,5.1282126715266e-11,9.02565430188682e-09
"EBG00001118677-1","EBG00001118677-1",3856,16.597029576127,0.925302977635064,0.271228890705762,46.7215941618921,7.15376607626323e-11,1.18500031004454e-08
"ACT28975-1","ACT28975-1",1906,28.5026920900417,-0.754972467167815,0.164948677706578,45.8562764086509,1.10264597766025e-10,1.72502837393959e-08
"EBG00001118649-1","EBG00001118649-1",3479,67.0636349642225,0.760605604115703,0.21189478675067,44.8514013530298,1.82239260055124e-10,2.700977664817e-08
"ACT31249-1","ACT31249-1",4135,16.4560583801847,1.11306263338412,0.322040866377977,42.390682550685,6.23706459728023e-10,8.78178695297056e-08
"ACT28241-1","ACT28241-1",1184,40.5937612581241,0.530026330533489,0.18232664019081,41.969128571682,7.70051064427798e-10,1.03260180829937e-07
