"","geneID","order","baseMean","log2FC","padj","likes","Condition","FDR.Condition","FWER.Condition"
"ACT31309-1","ACT31309-1","4201",170.560617414202,1.41939193076561,6.27295548838447e-09,0.999999993727045,"paraquat>transient>control",6.27295548838447e-09,6.27295548838447e-09
"ACT31030-1","ACT31030-1","3898",158.038068594202,1.51186470097716,4.91267663216277e-08,0.999999908019423,"control>transient>paraquat",4.91267663216277e-08,9.82535320881439e-08
"ACT28181-1","ACT28181-1","1119",3.0487508633919,1.02117948377631,1.14687716812334e-06,0.999996657622028,"control>transient>paraquat",1.14687716812334e-06,3.44063117541094e-06
"ACT30449-1","ACT30449-1","3324",13.8474821441192,0.776370665754414,1.96526530030217e-06,0.999995579570303,"control>transient>paraquat",1.96526530030217e-06,7.86104566319334e-06
"ACT28158-1","ACT28158-1","1088",0.248835938538948,0,3.07178267358044e-06,0.999992502147833,"control>transient>paraquat",3.07178267358044e-06,1.53588388889236e-05
"ACT29813-1","ACT29813-1","2713",3.23611836388726,0.867124985544696,8.32305090033477e-06,0.999965420607966,"control>transient>paraquat",8.32305090033477e-06,4.99376998236434e-05
"ACT27185-1","ACT27185-1","103",28.0567507877685,1.60751738829617,1.3889597976927e-05,0.999952711119564,"control>transient>paraquat",1.3889597976927e-05,9.72242187622374e-05
"ACT31278-1","ACT31278-1","4170",0.950590054362693,0.898715413161522,2.22428900083921e-05,0.999919284065771,"control>transient>paraquat",2.22428900083921e-05,0.00017793230544727
"ACT27509-1","ACT27509-1","411",2.61949989539852,0.602806887775077,3.01663066017236e-05,0.999906446360652,"control>transient>paraquat",3.01663066017236e-05,0.000271469298580906
"ACT27481-1","ACT27481-1","384",0.619917119333642,1.4821094916705,3.95165321283364e-05,0.999876331438132,"control>transient>paraquat",3.95165321283364e-05,0.000395104288230974
"ACT28975-1","ACT28975-1","1906",0.809111489695998,1.68553654619603,4.83379770665129e-05,0.999863447573552,"control>transient>paraquat",4.83379770665129e-05,0.000531602762230077
"ACT30888-1","ACT30888-1","3762",0.418479400889815,0.843000204269757,5.87510261781295e-05,0.999826705433594,"control>transient>paraquat",5.87510261781295e-05,0.00070480520476579
"ACT28701-1","ACT28701-1","1625",0.695092882274485,0.599185247146488,7.30599190172931e-05,0.999755233366913,"paraquat>transient>control",7.30599190172931e-05,0.000949399325056111
"ACT30018-1","ACT30018-1","2910",0.983679186515863,0.45382117768728,8.61029319458148e-05,0.999744337899983,"control>transient>paraquat",8.61029319458148e-05,0.0012048186996475
"ACT27508-1","ACT27508-1","410",4.53608746355189,0.685422582384655,9.74302835061428e-05,0.999743986794649,"control>transient>paraquat",9.74302835061428e-05,0.00146052345550107
"ACT30999-1","ACT30999-1","3859",3.30841666243082,1.23504094063275,0.000107603910171845,0.999739791689843,"transient>control>paraquat",0.000107603910171845,0.00172035172531815
"ACT30639-1","ACT30639-1","3518",5.05056242258235,1.07884976463417,0.000117668974369372,0.99972128999847,"control>transient>paraquat",0.000117668974369372,0.00199858224761595
"ACT28818-1","ACT28818-1","1749",1.38695707939176,0.864479005853446,0.000138367446029063,0.999509758535756,"control>transient>paraquat",0.000138367446029063,0.00248784392397228
"ACT27505-1","ACT27505-1","407",0.187126574151507,0.529664559549217,0.000161415122111798,0.999423726708399,"control>transient>paraquat",0.000161415122111798,0.00306268353756622
"ACT29440-1","ACT29440-1","2356",0.341612371672039,2.65930086774896,0.000182675960180473,0.999413368116515,"control>transient>paraquat",0.000182675960180473,0.00364751875323932
"ACT28330-1","ACT28330-1","1263",0.193643313523214,1.88367046965773,0.000204063009494028,0.999368196004235,"control>transient>paraquat",0.000204063009494028,0.0042770182320816
"ACT30844-1","ACT30844-1","3716",0.0688630888762812,0.438285690969313,0.000225346585843167,0.999327698310825,"control>transient>paraquat",0.000225346585843167,0.00494644447467463
"ACT30376-1","ACT30376-1","3248",0.674084248353534,0.548010787901469,0.000249553501180292,0.999217894361403,"control>transient>paraquat",0.000249553501180292,0.00572468147115701
"ACT29943-1","ACT29943-1","2834",0.202341752818027,1.27744244091314,0.000272081987315598,0.999209762831572,"control>transient>paraquat",0.000272081987315598,0.00651039478350868
"ACT27466-1","ACT27466-1","369",1.19250770335977,0.414414496661246,0.00029298178342247,0.999205423110013,"control>transient>paraquat",0.00029298178342247,0.00729979866425645
"ACT27521-1","ACT27521-1","423",0.320046311811819,2.25433866875188,0.000313437959122006,0.99917515764839,"control>transient>paraquat",0.000313437959122006,0.00811861983277029
"ACT29725-1","ACT29725-1","2629",0.710406883989524,0.942161067669008,0.000344110683987488,0.99885839846951,"control>transient>paraquat",0.000344110683987488,0.0092509531344338
"ACT30415-1","ACT30415-1","3283",4.10454666985026,0.815177225140672,0.000377913533961589,0.998709409516738,"control>transient>paraquat",0.000377913533961589,0.0105296044256197
"ACT30005-1","ACT30005-1","2897",0.0802950543300221,1.09505144536992,0.000411295827099021,0.998653999965053,"paraquat>transient>control",0.000411295827099021,0.011861431612642
"ACT28773-1","ACT28773-1","1702",1.18491249757151,1.06089917723849,0.000443230460884573,0.998630665159334,"control>transient>paraquat",0.000443230460884573,0.0132145241817402
"ACT30589-1","ACT30589-1","3466",0.647494305407723,1.24407366570324,0.000493722177594268,0.997991526321115,"control>transient>paraquat",0.000493722177594268,0.0151964568366273
"ACT30563-1","ACT30563-1","3442",1.62398246223999,0.405391132096379,0.000544945738111185,0.997867123885864,"control>transient>paraquat",0.000544945738111185,0.0172969207909566
"ACT30847-1","ACT30847-1","3719",1.25063240596211,1.47752821692403,0.00059694515057418,0.99773907365061,"control>transient>paraquat",0.00059694515057418,0.019518740076367
"ACT27789-1","ACT27789-1","702",0.154964166694171,0,0.000648056477212689,0.997665269743716,"control>transient>paraquat",0.000648056477212689,0.0218078993396297
"ACT29992-1","ACT29992-1","2882",0.162570092788427,0.662690991616485,0.000706300185414827,0.997313413735712,"control>transient>paraquat",0.000706300185414827,0.0244358968010984
"ACT28576-1","ACT28576-1","1504",0.300290061341213,0.164254468680666,0.000771161078307436,0.996958707670451,"control>transient>paraquat",0.000771161078307436,0.0274028724251403
"ACT29272-1","ACT29272-1","2194",0.244551783244652,1.11542017878464,0.00084103035711861,0.996643675605679,"control>transient>paraquat",0.00084103035711861,0.0306672238902662
"ACT29572-1","ACT29572-1","2483",0.735794202493977,0.769925449230712,0.000914088666081994,0.996382753902273,"control>transient>paraquat",0.000914088666081994,0.0341735390920481
"ACT27527-1","ACT27527-1","429",0.0862023353195275,3.02672927632647,0.0010085322379861,0.995402612029658,"control>transient>paraquat",0.0010085322379861,0.0386138180448644
"ACT29258-1","ACT29258-1","2180",0.116676448464238,0.219292225551816,0.00110924464340767,0.994962971545151,"control>transient>paraquat",0.00110924464340767,0.043456347599471
"ACT30803-1","ACT30803-1","3682",0.251481525971436,0.415212982554868,0.00120756757238093,0.994859515268689,"control>transient>paraquat",0.00120756757238093,0.0483734456394688
"ACT28031-1","ACT28031-1","954",0.426198402950577,1.03437200245664,0.00130711169755621,0.994611579170257,"control>transient>paraquat",0.00130711169755621,0.0535012099871215
"ACT29690-1","ACT29690-1","2593",0.0950409907509342,0,0.00142015936887011,0.993831838435946,"control>transient>paraquat",0.00142015936887011,0.0593393674441022
"ACT27183-1","ACT27183-1","101",1.13168581426136,0.804213552911461,0.00154760052966797,0.992972429556024,"paraquat>transient>control",0.00154760052966797,0.065949926303264
"ACT27525-1","ACT27525-1","427",0.304996463904298,2.24591550346703,0.00168438086660199,0.992297284308301,"control>transient>paraquat",0.00168438086660199,0.0731446484627604
"ACT30977-1","ACT30977-1","3840",0.146191285618747,0,0.00185018553493479,0.99068860439009,"control>transient>paraquat",0.00185018553493479,0.0817749653140862
"ACT28631-1","ACT28631-1","1558",0.918564407726992,4.12724633050338,0.00201113614879488,0.990585135613641,"control>transient>paraquat",0.00201113614879488,0.0904199294918141
"EBG00001118603-1","EBG00001118603-1","4014",0.0761538518436612,2.41796945193172,0.00217489457349665,0.99012845946552,"paraquat>control>transient",0.00217489457349665,0.0993988860271908
"ACT30792-1","ACT30792-1","3670",0.0761538518436612,2.41796945193172,0.00233629912136812,0.989916282580801,"control>transient>paraquat",0.00233629912136812,0.108480293167908
"ACT27206-1","ACT27206-1","123",0.0726952773609255,0.405805162289306,0.00249563345007444,0.989696984443316,"control>transient>paraquat",0.00249563345007444,0.117665634576489
