"","geneID","order","baseMean","logFC.Conditionparaquat","logFC.Conditiontransient","logCPM","F","PValue","padj"
"ACT31309-1","ACT31309-1",4201,289.337492795371,1.66351517320809,1.15349557123977,12.5340245511447,88.7668678441723,3.18597695820481e-39,1.33842892014184e-35
"ACT30005-1","ACT30005-1",2897,259.760434144879,1.67389511205748,1.00161704268265,11.1812328793418,60.2392973589515,7.30101016658211e-27,1.53357718549057e-23
"ACT30215-1","ACT30215-1",3091,7.23391975558681,1.26728075018196,0.954922913292656,12.2177044626522,50.4957306936216,1.22331189847964e-22,1.71304442850432e-19
"ACT31143-1","ACT31143-1",4019,32.108329254585,1.07397736044099,0.702891381498877,12.9686136185874,41.811096005345,7.14018247134152e-19,7.49897664052643e-16
"ACT27183-1","ACT27183-1",101,0.341856763902916,1.80919587419221,1.22267105562086,9.81801650235663,40.1524129041876,3.7422300241967e-18,3.14422166633007e-15
"ACT31047-1","ACT31047-1",3927,7.68201365655052,2.06969441137946,1.35743496240039,9.34918985719507,39.4351210996228,7.66043453046078e-18,5.36358091041096e-15
"ACT29943-1","ACT29943-1",2834,49.5283189066159,-1.75693730238484,-1.05439633737276,10.1583224471492,34.3835408248872,1.19003531970741e-15,7.14191196870119e-13
"ACT29636-1","ACT29636-1",2542,2.55614004495835,-1.60930009725682,-1.1479999477092,10.1200849529907,33.2241008915984,3.78929623465988e-15,1.98985418522577e-12
"ACT28973-1","ACT28973-1",1904,7.61944315504624,0.973455792801333,0.759354469466738,12.4221458065258,32.5478025102921,7.44671907458089e-15,3.47596298136826e-12
"ACT29409-1","ACT29409-1",2323,1.29770030496266,-1.26960891384835,-0.905905438563362,10.5525614749551,27.3924765379692,1.28459709946107e-12,5.39659241483597e-10
"EBG00001118649-1","EBG00001118649-1",3479,1.89824145902939,1.15940551320066,0.570129222645669,11.0553812346988,27.1199537884503,1.68662978829833e-12,6.44139249149207e-10
"ACT30449-1","ACT30449-1",3324,0.818402444529019,-1.3179748518695,-0.402460248168037,11.1476978244327,26.7044860285476,2.55447192560212e-12,8.94278046621209e-10
"ACT27083-1","ACT27083-1",2,1.86121956533894,0.812105920628157,0.670129613608864,12.892788979833,26.1585498276786,4.40757265952768e-12,1.32487949616104e-09
"ACT31280-1","ACT31280-1",4172,2.68451137227075,1.76260682267657,1.02041689920743,9.21121222591261,26.1568162638052,4.41521374583542e-12,1.32487949616104e-09
"ACT31030-1","ACT31030-1",3898,10.1653530324153,-1.2836597676774,-0.532432420537917,11.0425187064227,25.7303556614989,6.76096739639287e-12,1.89352160214976e-09
"ACT28158-1","ACT28158-1",1088,6.98877652419201,-1.28313787385064,-0.705609036199627,10.6811732113533,24.4961932136981,2.32044836164721e-11,6.09262722954997e-09
"ACT29813-1","ACT29813-1",2713,9.43566758601975,-2.23132581939254,-0.616948607182583,9.58638256863294,24.0719720630532,3.54541374234264e-11,8.76134301857731e-09
"EBG00001118584-1","EBG00001118584-1",904,2.87927618700656,1.38933048310576,0.832617408025362,9.89407547702843,23.7086173633493,5.09741863976666e-11,1.18968087253665e-08
"ACT30585-1","ACT30585-1",3462,0.538976524213508,1.7392361216798,1.10027242899782,8.99810070072744,23.1232250562979,9.14943233555714e-11,2.02298764429871e-08
"ACT28470-1","ACT28470-1",1408,0.521924712606776,1.42478277498261,0.609269044193659,9.76474988519878,22.5663289078775,1.59615785903613e-10,3.04793598445945e-08
"ACT28975-1","ACT28975-1",1906,0.352981439950535,-1.17229036411776,-0.930854072893657,10.3105763989974,22.5962428655247,1.54915073753699e-10,3.04793598445945e-08
"ACT30844-1","ACT30844-1",3716,0.244577928003574,-1.28896365366191,-0.794290426712751,10.3703241573299,22.630818133491,1.49654093096862e-10,3.04793598445945e-08
"ACT31048-1","ACT31048-1",3928,1.65455418388506,1.92139571197539,1.00844757508266,8.66756525469112,21.9918978969475,2.83381686407427e-10,5.17602810694609e-08
"ACT27509-1","ACT27509-1",411,0.287840679545303,-1.17247499555812,-0.706069830052716,10.6674276836287,21.7027106708872,3.78335567575343e-10,6.62244883076673e-08
"ACT29665-1","ACT29665-1",2571,3.90855198421728,1.57996360695626,1.04744998654426,9.15098155469786,21.3560763481922,5.3495314970244e-10,8.9893527275998e-08
"ACT27481-1","ACT27481-1",384,0.587701528324824,-1.04726435247606,-0.218411362329474,11.5659599555959,21.1856916319595,6.34253640683906e-10,1.02480751712042e-07
"ACT31245-1","ACT31245-1",4131,1.72272923978961,1.13160618976753,0.312149488497465,10.453480987045,20.6155893590261,1.12122070099606e-09,1.74453635736462e-07
